JurisdictionID,JurisContainerID,JurisName,EISCandidateID,CandidateName,EISContestID,ContestName,PrecinctName,Registration,EISPartyID,PartyName,VoteCount
63,0,McHENRY,0,Blank Ballots,100,For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,RILEY,2122,0,,101
63,0,McHENRY,0,Under Votes,100,For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,RILEY,2122,0,,0
63,0,McHENRY,0,Over Votes,100,For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,RILEY,2122,0,,0
63,0,McHENRY,0,Blank Ballots,120,PRESIDENT AND VICE PRESIDENT,RILEY,2122,0,,26
63,0,McHENRY,0,Under Votes,120,PRESIDENT AND VICE PRESIDENT,RILEY,2122,0,,0
63,0,McHENRY,0,Over Votes,120,PRESIDENT AND VICE PRESIDENT,RILEY,2122,0,,0
63,0,McHENRY,0,Blank Ballots,160,UNITED STATES SENECAATOR,RILEY,2122,0,,37
63,0,McHENRY,0,Under Votes,160,UNITED STATES SENECAATOR,RILEY,2122,0,,0
63,0,McHENRY,0,Over Votes,160,UNITED STATES SENECAATOR,RILEY,2122,0,,0
63,0,McHENRY,0,Blank Ballots,210,COMPTROLLER,RILEY,2122,0,,55
63,0,McHENRY,0,Under Votes,210,COMPTROLLER,RILEY,2122,0,,0
63,0,McHENRY,0,Over Votes,210,COMPTROLLER,RILEY,2122,0,,0
63,0,McHENRY,0,Blank Ballots,380,14TH CONGREENWOODSS,RILEY,2122,0,,73
63,0,McHENRY,0,Under Votes,380,14TH CONGREENWOODSS,RILEY,2122,0,,0
63,0,McHENRY,0,Over Votes,380,14TH CONGREENWOODSS,RILEY,2122,0,,0
63,0,McHENRY,0,Blank Ballots,1100,32ND SENECAATE,RILEY,2122,0,,68
63,0,McHENRY,0,Under Votes,1100,32ND SENECAATE,RILEY,2122,0,,0
63,0,McHENRY,0,Over Votes,1100,32ND SENECAATE,RILEY,2122,0,,0
63,0,McHENRY,0,Blank Ballots,2000,63RD REPRESENECATATIVE,RILEY,2122,0,,53
63,0,McHENRY,0,Under Votes,2000,63RD REPRESENECATATIVE,RILEY,2122,0,,0
63,0,McHENRY,0,Over Votes,2000,63RD REPRESENECATATIVE,RILEY,2122,0,,0
63,0,McHENRY,0,Blank Ballots,4670,22ND CIRCUIT- GRAHAM VACANCY,RILEY,2122,0,,249
63,0,McHENRY,0,Under Votes,4670,22ND CIRCUIT- GRAHAM VACANCY,RILEY,2122,0,,0
63,0,McHENRY,0,Over Votes,4670,22ND CIRCUIT- GRAHAM VACANCY,RILEY,2122,0,,0
63,0,McHENRY,0,Blank Ballots,100,For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,MARENGO 1,1186,0,,59
63,0,McHENRY,0,Under Votes,100,For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,MARENGO 1,1186,0,,0
63,0,McHENRY,0,Over Votes,100,For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,MARENGO 1,1186,0,,0
63,0,McHENRY,0,Blank Ballots,120,PRESIDENT AND VICE PRESIDENT,MARENGO 1,1186,0,,20
63,0,McHENRY,0,Under Votes,120,PRESIDENT AND VICE PRESIDENT,MARENGO 1,1186,0,,0
63,0,McHENRY,0,Over Votes,120,PRESIDENT AND VICE PRESIDENT,MARENGO 1,1186,0,,0
63,0,McHENRY,0,Blank Ballots,160,UNITED STATES SENATOR,MARENGO 1,1186,0,,19
63,0,McHENRY,0,Under Votes,160,UNITED STATES SENATOR,MARENGO 1,1186,0,,0
63,0,McHENRY,0,Over Votes,160,UNITED STATES SENATOR,MARENGO 1,1186,0,,0
63,0,McHENRY,0,Blank Ballots,210,COMPTROLLER,MARENGO 1,1186,0,,32
63,0,McHENRY,0,Under Votes,210,COMPTROLLER,MARENGO 1,1186,0,,0
63,0,McHENRY,0,Over Votes,210,COMPTROLLER,MARENGO 1,1186,0,,0
63,0,McHENRY,0,Blank Ballots,380,14TH CONGRESS,MARENGO 1,1186,0,,49
63,0,McHENRY,0,Under Votes,380,14TH CONGRESS,MARENGO 1,1186,0,,0
63,0,McHENRY,0,Over Votes,380,14TH CONGRESS,MARENGO 1,1186,0,,0
63,0,McHENRY,0,Blank Ballots,1100,32ND SENATE,MARENGO 1,1186,0,,44
63,0,McHENRY,0,Under Votes,1100,32ND SENATE,MARENGO 1,1186,0,,0
63,0,McHENRY,0,Over Votes,1100,32ND SENATE,MARENGO 1,1186,0,,0
63,0,McHENRY,0,Blank Ballots,2000,63RD REPRESENTATIVE,MARENGO 1,1186,0,,36
63,0,McHENRY,0,Under Votes,2000,63RD REPRESENTATIVE,MARENGO 1,1186,0,,0
63,0,McHENRY,0,Over Votes,2000,63RD REPRESENTATIVE,MARENGO 1,1186,0,,0
63,0,McHENRY,0,Blank Ballots,4670,22ND CIRCUIT- GRAHAM VACANCY,MARENGO 1,1186,0,,162
63,0,McHENRY,0,Under Votes,4670,22ND CIRCUIT- GRAHAM VACANCY,MARENGO 1,1186,0,,0
63,0,McHENRY,0,Over Votes,4670,22ND CIRCUIT- GRAHAM VACANCY,MARENGO 1,1186,0,,0
63,0,McHENRY,0,Blank Ballots,100,For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,MARENGO 1,1040,0,,42
63,0,McHENRY,0,Under Votes,100,For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,MARENGO 1,1040,0,,0
63,0,McHENRY,0,Over Votes,100,For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,MARENGO 1,1040,0,,0
63,0,McHENRY,0,Blank Ballots,120,PRESIDENT AND VICE PRESIDENT,MARENGO 1,1040,0,,15
63,0,McHENRY,0,Under Votes,120,PRESIDENT AND VICE PRESIDENT,MARENGO 1,1040,0,,0
63,0,McHENRY,0,Over Votes,120,PRESIDENT AND VICE PRESIDENT,MARENGO 1,1040,0,,1
63,0,McHENRY,0,Blank Ballots,160,UNITED STATES SENATOR,MARENGO 1,1040,0,,13
63,0,McHENRY,0,Under Votes,160,UNITED STATES SENATOR,MARENGO 1,1040,0,,0
63,0,McHENRY,0,Over Votes,160,UNITED STATES SENATOR,MARENGO 1,1040,0,,0
63,0,McHENRY,0,Blank Ballots,210,COMPTROLLER,MARENGO 1,1040,0,,19
63,0,McHENRY,0,Under Votes,210,COMPTROLLER,MARENGO 1,1040,0,,0
63,0,McHENRY,0,Over Votes,210,COMPTROLLER,MARENGO 1,1040,0,,1
